code,group,duplicate_of,ann_count,is_verified,id,name
EAM_DHC,Algae,None,4871135,False,1432,EAM: Dead Hard Coral
Turf,Algae,None,4135700,True,82,Turf
Sand,Soft Substrate,None,2856198,True,84,Sand
*TURFH,Hard Substrate,None,1468571,False,1348,CRED-Turf growing on hard substrate
HARD_SUB,Hard Substrate,None,1166099,False,3438,Hard Substrate
DSUB,Hard Substrate,None,958204,False,182,Dead Substrate
CCA,Algae,None,924230,True,101,CCA (crustose coralline algae)
Unc,Other,None,644753,False,118,Unclear
Macro,Algae,None,634020,False,81,Macroalgae
CCA_bare,Algae,None,488098,False,83,CCA/Bare Space
ACR_br,Hard coral,None,480377,True,168,Acroporidae (branching)
BRA_TAB-Ac,Hard coral,None,397266,False,1412,Acropora corymbose/tabular/plate
Sediment,Soft Substrate,None,350389,False,95,Sediment
SUSM,Soft Substrate,None,337408,False,801,Substrate: Unconsolidated: Sand/Mud (<2mm)
*CCAH,Hard Substrate,None,328486,False,1340,CRED-CCA growing on hard substrate
EAM_RB,Algae,None,325273,False,1433,Epilithic algal matirx smotheting rubble
PCOM,Hard coral,None,321206,False,444,Porites compressa
SHAD,Other,None,305688,True,222,Shadow
Bare-Subst,Hard Substrate,None,294074,False,96,Bare Substrate
Rock,Hard Substrate,None,264129,True,515,Rock
Trans,Other,None,250842,False,107,Transect hardware
RockRub,Hard Substrate,None,236131,False,524,Rock Rubble
*TURF,Hard Substrate,None,233847,False,2099,CREP-T1 Turf algae
Porites,Hard coral,None,226309,True,74,Porites
Pocill,Hard coral,None,221968,True,73,Pocillopora
_CCA,Algae,None,221571,False,1871,ARMS-CREP-CCA
C-Rubble,Other,None,218313,True,124,Broken coral rubble
ACR_p_e,Hard coral,None,205990,False,169,Acroporidae (plate/encrusting)
CTB,Hard Substrate,None,201003,False,1741,"Crustose, turf, bare"
*EMA,Algae,None,164046,False,1337,CRED-Encrusting macroalgae
SedLim,Other,None,161407,False,625,Sediment Covered Limestone
Dicsp,Algae,None,160046,False,503,Dictyota spp.
Off,Other,None,157644,False,85,Off
Other,Other,None,144947,False,103,All other
D_coral,Hard Substrate,None,144803,True,105,Dead coral
TURFH,Algae,None,144799,False,793,Turf growing on hard substrate
ALC-SF,Other Invertebrates,None,142868,False,176,Alcyoniidae
Rubble,Other,None,140173,True,1457,Rubble
POR-MASS,Hard coral,None,139352,False,171,Poritidae massive
Fuzz,Other,None,134057,False,516,Fuzz
FAV-MUS,Hard coral,None,133279,False,174,Favidae-Mussidae massive/meandroid
Coral,Hard coral,None,131842,False,184,Coral
POCIL,Hard coral,None,125640,True,170,Pocilloporidae
P mass,Hard coral,None,125621,False,89,Porites lobata
ACR_t_c_d,Hard coral,None,120158,False,167,Acroporidae (table/corymbose/digitate)
CAL_CCA_DC,Algae,None,118171,False,1403,Calcifying calcareous crustose algae: DHC
C_massive,Hard coral,None,114920,True,237,Hard Coral (massive)
Turfsa,Algae,None,114780,True,463,Turf sand
Sponge,Other Invertebrates,None,110465,True,102,Sponge
MASE_SMO_P,Hard coral,None,109325,False,1596,MASE: Porites
